TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,170432.767233,44.305742,49.738695,49.790063,33.626988,22.751336,99.860239,99.820283,46.500513,44.575406,44.305711,49.738643,49.790041,0.010944,934650.87,17.49,5247588126299087,93432825849,2418682975757072,48825031659,3cf57f2ee544823824a1f6e509c4eff8,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,61081.750250,41.943344,47.386410,47.161709,28.244643,19.750879,99.774555,98.818128,41.894633,42.420775,41.943318,47.386293,47.161683,1.106898,715837.78,21.21,3860954337844570,95810836888,1855011962408601,58418941956,6fd1bac0912c64b5d6c3f49137a9bb2e,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,30222.289710,40.020836,45.010521,44.853069,24.290649,17.874362,93.899352,91.595124,38.461988,40.605946,40.020817,45.010260,44.853017,1.295247,395503.74,19.25,2671221471683667,90499119848,1104518929935861,53314166394,56e384d9cedafaa20ae2cf17bf62a0e1,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,14911.152847,37.406686,42.327215,42.329753,20.150302,15.548122,80.876100,78.097660,34.534325,38.356565,37.406645,42.326629,42.329314,1.274740,261881.71,18.39,1409327189813790,83894110308,683418754107793,51160957446,a6f2fce4c76f97ffdb4277deac347e45,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7007.248751,34.243074,39.436574,39.577366,15.992987,12.906962,61.789903,58.762358,30.491029,35.700806,34.242911,39.435500,39.576041,1.150251,99712.35,14.28,659105354293619,66537377744,278464912489274,40371030921,050b1b74a89a6ba404dcdb8203dee05c,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3120.079920,30.923903,36.562919,36.617078,12.186459,10.334748,40.221822,37.590599,26.728067,32.943051,30.923727,36.561154,36.615544,0.783571,56867.29,9.59,291361103821064,58192180649,151881238278851,26784405946,45f4ed5c0299457271a9afc02277d80c,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,67760.943057,43.668073,49.520105,52.894253,32.400285,21.369295,99.069883,97.708135,45.295550,44.400514,43.667732,49.519845,52.893904,0.020257,520254.08,14.66,3560717899336302,51384157963,1452902611458651,39953626020,d72b258f3fa86e32c7100408f1dd31d9,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,21426.717283,42.701544,48.482147,51.665214,27.788573,19.814273,94.350901,92.596164,42.782217,43.452806,42.699199,48.481777,51.664772,0.248035,307762.49,13.92,1612627425538170,60363613710,787122212814088,39116093489,fc1e7ffb3458e8f93ea3f9ebbe34f7a1,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,10516.731269,41.740904,47.279136,49.898790,23.868093,18.504344,85.913135,83.734617,40.559467,42.425103,41.734972,47.278723,49.898152,0.314289,175404.38,9.43,908527260308220,56755503986,447911295810004,26331800921,5ee775388c7f4a93477dffab3f99b40f,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5369.430569,40.200591,45.410639,47.475769,19.761190,16.686284,71.170202,68.706104,37.774159,40.830838,40.191422,45.409819,47.475108,0.300896,59871.00,12.53,401032227778196,63054663466,167193385019914,35448245733,6ed87c23afe271e1a93bfe2a510f3540,
