tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
libaom-v3.12.0,AI,A1,1.597375,-1.760975,-1.8415875,1.228175,-0.4835625,1.0826375,-4.6853625,-6.51335,0.46768750000000003,0.20666250000000003,1.5956375,-1.76095,-1.8358375,1.327275
libaom-v3.12.0,AI,A2,0.8642473684210527,1.9782842105263159,2.7128894736842106,0.9849789473684211,-0.047436842105263125,-0.5318736842105264,-3.1880947368421055,-2.647478947368421,2.230573684210526,3.8753736842105266,0.8579473684210527,1.9780315789473684,2.713894736842106,1.061978947368421
libaom-v3.12.0,AI,A3,-0.0823,-1.85825,-2.0840875,-0.245025,-0.72245,-0.5692875000000001,-2.3714749999999998,-2.490075,-0.9912875,-0.844675,-0.0786625,-1.858325,-2.0851125,-0.262325
libaom-v3.12.0,AI,A4,0.6687666666666666,2.0425833333333334,4.520733333333333,0.8738,-0.82565,-0.5055999999999999,-3.8542166666666664,-3.1797333333333335,4.671066666666667,3.2141,0.6687666666666666,2.0366166666666667,4.4956000000000005,0.8643833333333334
libaom-v3.12.0,AI,A5,-0.23745,-1.37955,-1.571975,-0.30285,-1.0830250000000001,-0.931,-1.3429499999999999,-1.827275,-1.157,-0.43835,-0.235125,-1.3525,-1.57175,-0.29615
libaom-v3.12.0,AI,B1,-0.37488,1.80091,1.98991,-0.19160000000000005,-0.5684799999999999,-1.36066,-4.6477699999999995,-4.03514,3.7178600000000004,4.99391,-0.43121,1.71511,1.89316,-0.2192
libaom-v3.12.0,AI,B2,22.56161111111111,11.365922222222222,3.504411111111111,21.534277777777774,22.05591111111111,21.650488888888887,22.929944444444445,22.498655555555555,20.338900000000002,17.259666666666664,22.422244444444445,11.381166666666665,3.4647,21.270300000000002
libaom-v3.12.0,AI,E,-1.02163125,0.36488749999999986,1.0661,-0.74270625,-0.55825,-1.24036875,-2.5247687500000002,-2.1941937499999997,-1.06530625,-1.37240625,-0.8493562499999999,0.43876249999999994,1.0646125,-0.9092
libaom-v3.12.0,AI,G1,-1.262925,-2.9396,-2.7882999999999996,-1.3555000000000001,-1.325925,-1.292625,-2.432175,-2.7083,-1.37705,-0.5103,-1.2598000000000003,-2.930475,-2.789775,-1.23885
libaom-v3.12.0,AI,G2,-0.8342142857142857,-2.4289,-1.9083714285714286,-0.9239428571428572,-0.6174714285714286,-0.5676714285714286,-3.6849,-3.101657142857143,-0.8563571428571428,-1.111157142857143,-0.8162,-2.4270285714285715,-1.9073714285714285,-0.9177714285714286
libaom-v3.12.0,AS,A1,1.4719375,-5.4360125,-5.728149999999999,0.5718375,-3.9761,-1.3154875,7.9918625,7.07675,-0.1307625,-3.2170625,1.597725,-5.620475,-5.9378625,1.01655
libaom-v3.12.0,LD,A2,11.276142105263158,3.4521789473684215,2.992115789473684,10.399084210526317,8.999068421052632,8.235805263157895,19.365384210526315,18.87841052631579,12.124189473684211,9.625836842105263,16.851494736842106,4.836726315789474,3.830273684210527,15.981331578947369
libaom-v3.12.0,LD,A3,10.54555,14.318925,18.71625,11.094675,8.4585125,8.4696375,17.41335,16.611325,10.084775,13.4992,12.024537500000001,14.0216625,18.8389125,12.4070625
libaom-v3.12.0,LD,A4,9.144566666666668,21.77631666666667,22.704183333333333,9.852500000000001,11.565483333333333,10.8634,9.926083333333333,8.036716666666667,14.210283333333335,17.0819,12.318733333333332,21.867783333333335,22.168633333333332,12.8697
libaom-v3.12.0,LD,A5,11.0358,5.291575,4.4695,10.53365,10.765474999999999,10.59105,13.502075000000001,12.838025,10.1731,10.854275,13.702225,3.2866500000000003,2.8487999999999993,13.34775
libaom-v3.12.0,LD,B1,15.91019,3.21042,2.70118,14.73999,11.39195,11.12823,24.1031,22.47212,15.39297,15.71633,23.12041,6.3773,5.12496,21.94215
libaom-v3.12.0,LD,B2,21.49224444444444,18.5523,17.54437777777778,21.12777777777778,18.407788888888888,18.238122222222223,19.01143333333333,20.02918888888889,19.811144444444444,22.764277777777778,21.081311111111113,18.462388888888892,17.829055555555556,20.64942222222222
libaom-v3.12.0,RA,A1,-0.4987375,-7.519575,-7.6764875,-1.43435,-2.2157500000000003,-2.5366125,-1.0397750000000001,-1.750675,-1.82335,-4.75295,-0.2155,-7.6602125,-7.796787500000001,-0.964925
libaom-v3.12.0,RA,A2,-0.7200052631578946,-2.656526315789474,-1.8961157894736844,-0.9159684210526317,-1.7368000000000001,-1.7633736842105263,0.9297473684210523,0.11834210526315803,-0.280378947368421,0.033757894736842105,-0.6522789473684212,-2.9433789473684215,-2.1084736842105265,-0.6454473684210528
libaom-v3.12.0,RA,A3,-0.2653375,4.029462499999999,6.4842375,0.270525,-0.508475,-0.3176,1.3627375000000002,1.0608624999999998,-0.8332999999999999,2.541525,-0.8100250000000001,3.6978999999999997,6.30315,-0.25428749999999994
libaom-v3.12.0,RA,A4,1.8022,9.784866666666668,11.196433333333333,2.4907,4.27525,3.6274,-2.5446166666666667,-3.2358333333333333,5.63675,9.176416666666666,2.0847833333333337,9.410483333333334,10.636733333333334,2.846933333333333
libaom-v3.12.0,RA,A5,1.3846999999999998,1.178075,0.42474999999999996,1.366825,3.5569,2.631975,-1.454275,-2.01525,0.37807499999999994,2.3698,0.814925,-0.1573749999999996,-0.6481250000000003,0.987025
libaom-v3.12.0,RA,B1,3.08798,0.5730399999999998,-1.3495600000000003,2.7936500000000004,1.44041,1.27107,1.53089,1.1309399999999998,3.75288,7.0446100000000005,3.5855699999999997,1.3670399999999998,-1.17067,3.3665599999999998
libaom-v3.12.0,RA,B2,19.14891111111111,15.214099999999998,13.7786,18.68532222222222,17.401211111111113,16.973133333333333,17.217822222222225,16.69826666666667,16.045977777777775,17.957144444444445,18.148355555555554,14.790566666666665,13.963566666666667,17.690133333333332
